event,coefficient,lb,ub
-5,0.298126770915064,-0.591996989589424,0.82177580772147
-4,0.157145470255096,-1.05587117922786,1.52421798741531
-3,0.354517848953171,-1.85790195966829,1.9781219516167
-2,0.892452088181743,-1.67634633142011,4.03348196980366
-1,2.57290673949643,-0.502744258753094,6.01608337123253
0,6.6326308471019,1.75248748585007,8.78595517163005
1,7.59180883038878,2.76251765116257,10.8970785182036
2,9.15406495582129,3.58347791819982,14.3966404893917
3,10.9493834784551,5.78263502157618,18.1224360503089
4,13.4833020975387,6.09318799701961,20.0904984932039
5,18.9662552606271,7.53393635207725,26.3890520021098
