event,coefficient1,lb1,ub1,coefficient2,lb2,ub2
-11,-0.140873784,-0.161283621,0.118469502833763,-0.150730091,-0.351204206,-0.006055289
-10,-0.089372762,-0.206152037,0.233964391111367,-0.110428527,-0.252409074,0.16601760712066
-9,0.035813788004331,-0.026816593,0.409294739963932,-0.162586923,-0.227081565,0.0677033815259932
-8,-0.109782955,-0.174994967,0.268000665673223,0.0293853843013394,-0.216162693,0.29877352165568
-7,0.0635751594182792,-0.201346059,0.209482648712932,-0.126603567,-0.32067965,0.104205283189443
-6,0.0925854814969167,-0.024285761,0.294170311248148,-0.072464565,-0.217785329,0.107437372793247
-5,0.137751048567902,-0.065590411,0.511476440672156,-0.184108932,-0.275618736,0.0423406428801948
-4,-0.373033567,-0.611463091,0.243256818196664,-0.269394434,-0.404686397,0.019996624405798
-3,-0.161950683,-0.134375777,0.381515369845035,-0.306548406,-0.334411749,-0.036012244
-2,-0.699576742,-1.424417166,0.243376537720189,-0.465647003,-0.411547816,0.00251276592445233
-1,-0.508587896,-1.118229895,0.351540262685167,-0.386952258,-0.534875831,0.0526838493845156
0,-0.560847641,-0.864556811,0.245809857185844,-0.384735924,-0.483700192,-0.014434209
1,-0.731468727,-1.182283139,0.207889871616818,-0.402580506,-0.526360175,-0.008544417
2,-0.773369904,-1.182898641,0.147815001942901,-0.387990754,-0.555395051,0.015870070567131
3,-0.815292125,-1.296765021,0.113900396588316,-0.39391454,-0.611883563,-0.04955016
4,-0.593316203,-0.813486817,-0.005309753,-0.404975132,-0.509155306,-0.111196809
5,-0.677854675,-0.951332232,0.0566933062588795,-0.592189806,-0.582300469,-0.208826347
6,-1.129043281,-1.117684554,-0.233388305,-0.364893253,-0.411474364,-0.010978742
7,-0.872496177,-1.044376866,-0.185177234,-0.385491659,-0.542519301,-0.154235715
8,-0.502966207,-0.650582296,0.0631496568839472,-0.570121365,-0.667226532,-0.077894792
9,-0.738552963,-1.104188283,0.0699613840709491,-0.68173404,-0.706911189,-0.043816891
10,-0.659677892,-1.161293515,0.24295287003645,-0.662378855,-0.674492373,-0.034649136
11,-0.524820997,-0.89485306,0.401916334147314,-0.567721797,-0.604742058,0.0152587200341704
