"","event_time","att","se","ci_lower","ci_upper"
"1",-5,-0.537175830432184,1.0589414955314,-2.61270116167372,1.53834950080935
"2",-4,-0.577596563161866,1.02142306569203,-2.57958577191825,1.42439264559452
"3",-3,0.250879248653363,1.17038116982808,-2.04306784420967,2.5448263415164
"4",-2,1.42979966415246,1.20441731715621,-0.93085827747371,3.79045760577863
"5",0,4.78564562825467,1.17315301263383,2.48626572349236,7.08502553301698
"6",1,7.54040406723457,1.21400418769306,5.16095585935618,9.91985227511297
"7",2,9.78609000140723,1.41606194343738,7.01060859226996,12.5615714105445
"8",3,11.6787833879176,1.63475394693057,8.47466565193368,14.8829011239015
"9",4,13.1659649920679,1.68568424196838,9.86202387780984,16.4699061063259
"10",5,15.3223462343781,2.37489105184925,10.6675597727536,19.9771326960027
