event,coefficient1,lb1,ub1,coefficient2,lb2,ub2
-11,-0.143923094,-0.368840328,0.31312814665967,-0.190867872,-0.624021795,-0.015503355
-10,0.161327987122501,-0.228591271,0.369029127381016,0.0170180080127039,-0.217126354,0.141394152744272
-9,-0.119269846,-0.228130785,0.207147022637765,0.000569858753315501,-0.209582909,0.148421170762411
-8,0.26019197249675,0.142643114857659,0.446399353872667,0.0462214289882516,-0.269384658,0.261652799958325
-7,-0.067390714,0.0272142516908884,0.316914974900017,-0.12188382,-0.501013608,-0.179123644
-6,-0.168883462,-0.047313383,0.282776826273244,-0.084642374,-0.581553931,0.00138531121204935
-5,-0.160910308,-0.150377038,0.126069221291808,-0.245006252,-0.698581273,0.0883728465600397
-4,-0.023072102,-0.133772514,0.667664462842775,-0.097802048,-0.552856215,0.142545321707427
-3,-0.061956349,0.0852233253963225,0.432750510550018,-0.23329153,-0.677703064,0.0171795681591519
-2,-0.474143558,-0.592918255,0.0729319863999648,-0.291972461,-0.708155026,0.0451288969386376
-1,-0.243130329,-0.231254968,0.0777936871215852,-0.183283041,-0.371114807,0.0425578461605188
0,-0.185309446,-0.265463118,0.310787075222657,-0.211488222,-0.490727909,-0.08832186
1,-0.359811335,-0.338667637,0.201135025187098,-0.261870918,-0.68904509,-0.065862346
2,-0.250905491,-0.25400894,0.194950899725306,-0.012097515,-0.409446112,0.208310482480227
3,-0.268064293,-0.239594236,0.0703827582206298,-0.215013086,-0.551511169,0.123633475469852
4,-0.057482871,-0.307739816,0.29238385650995,-0.167202221,-0.494039897,0.155096331150303
5,-0.483409089,-0.607277944,0.0410107914714033,-0.377169383,-0.679331709,-0.027565396
6,-0.106537505,-0.265107127,0.121853035461083,0.106769014073222,-0.224051692,0.188538029705218
7,-0.19943341,-0.468712308,0.20757302545643,-0.167296975,-0.442600647,0.149324710615595
8,-0.196303462,-0.245991357,0.373980458190752,-0.277221251,-0.4117324,-0.137794195
9,-0.512232046,-0.581116428,-0.006152702,-0.145666448,-0.634008226,-0.134816931
10,-0.551428422,-0.643999378,-0.032089791,0.325997836253938,-0.12004753,0.377145528438499
11,-0.785475327,-0.860150401,-0.183144888,0.210292248418748,-0.255942096,0.412737403555802
