event,coefficient1,lb1,ub1,coefficient2,lb2,ub2
-5,-0.484555299444752,-2.42555472096371,-0.0305866375958169,1.40352450066573,-2.02123563535072,2.83840271863657
-4,-0.635386301761241,-2.60654605893826,2.13803364367542,-0.0439306737284077,-2.93148369542632,2.30158168815557
-3,1.82479274960916,-1.30614078351597,2.56292414108083,0.0194380430151198,-2.67464044906215,1.38133693697919
-2,0.85559075185834,-2.76719052003749,2.01847033488389,0.517510978470004,-2.2034730849647,3.12869161327353
-1,-1.70063904877211,-2.6001371944877,1.60746205001017,0.670892133277467,-1.07199479583082,4.52835957242858
0,5.16890366174018,1.05843559400064,6.84103088800436,4.29704357520907,-0.303403446066704,9.33703384582761
1,5.83644538159614,1.14928562404871,7.86071741506857,4.20641832331144,-0.67714228814229,9.23452705813772
2,6.64596916410387,0.755398571387563,7.9326522203812,1.64604378481223,-2.06739037324013,7.86056170963942
3,3.56336397666642,-5.74810319960457,7.16744010305968,3.17999842626858,-1.75642900309692,10.139102913349
4,4.2472598309183,-3.08154250141379,7.84102309767053,3.74284827422413,-4.28852621430181,9.9261592349877
5,6.57983071309057,-2.05034185233004,9.51827750552148,3.53928327003875,-4.26452943862715,9.38709170468635
